EnglishName,NepaliName,District,Election,Gender,party
Abdul Khan,अब्दुल खांन ,Bardiya,Proportion,Male,janmatparty
Achyut Prasad Mainali,अच्युत प्रसाद मैनाली,Bara,Direct,Male,NCP(UML)
Ajay Kumar Chaurasiya,अजय कुमार चौरसिया ,Parsa,Direct,Male,nepalicongress
Aman Lal Modi,अमन लाल मोदी,Morang,Direct,Male,MoistCenter
Ambika Basnet,अम्बिका बस्नेत,Kathmandu,Proportion,Female,nepalicongress
Ammar Bahadur Rayamajhi,अम्बर बहादुर रायमाझी,Udayapur,Direct,Male,NCP(UML)
Ammar Bahadur Thapa,अम्मर बहादुर थापा,Dailekh,Direct,Male,NCP(Unified Socialist)
Amrit Lal Rajbanshi,अमृत लाल राजवंशी,Jhapa,Proportion,Male,NCP(UML)
Amrita Devi Agrahari,अमृता देवी अग्रहरी,Kapilbastu,Proportion,Female,NCP(UML)
Anisha Nepali,अनिशा नेपाली,Salyan,Proportion,Female,RastriyaPrajatantraParty
Anita Devi,अनिता देवी,Dhanusa,Proportion,Female,janmatparty
Anjani Shrestha,अन्जनी श्रेष्ठ,Chitwan,Proportion,Female,nepalicongress
Arjun Narsingh K.C.,अर्जुन नरसिह के.सी.,Nuwakot,Direct,Male,nepalicongress
Arun Kumar Chaudhary,अरुण कुमार चौधरी,Kailali,Direct,Male,nagrikUnmuktiparty
Asha B.K.,आशा वि.क. ,Banke,Proportion,Female,nepalicongress
Ashim Shah,असिम शाह ,Kathmandu,Proportion,Male,NationalindependentParty
Ashma Kumari Chaudhary,अस्मा कुमारी चौधरी,Dang,Proportion,Female,NCP(UML)
Ashok Kumar Chaudhary,अशोक कुमार चौधरी,Sunsari,Proportion,Male,NationalindependentParty
Ashok Kumar Rai,अशोक कुमार राई,Sunsari,Direct,Male,JanataSamajbadiparty
Badri Prasad Pandey,बद्री प्रसाद पाण्डे,Bajura,Direct,Male,nepalicongress
Balaram Adhikari,बलराम अधिकारी,Kapilbastu,Direct,Male,NCP(UML)
Barshaman Pun,बर्षमान पुन,Rolpa,Direct,Male,MoistCenter
Basant Kumar Nemwang,वसन्त कुमार नेम्वाङ्ग,Panchthar,Direct,Male,NCP(UML)
Basudev Ghimire,बासु देव घिमिरे,Rupandehi,Direct,Male,NCP(UML)
Bhagbati Chaudhary,भगवति चौधरी,Sunsari,Direct,Female,NCP(UML)
Bhanubhakta Joshi,भानु भक्त जोशी,Bajhang,Direct,Male,NCP(Unified Socialist)
Bhim Prasad Acharya,भीम प्रसाद आचार्य,Sunsari,Direct,Male,NCP(UML)
Bidhya Bhattarai,विद्या भट्टराई,Kaski,Direct,Female,NCP(UML)
Bijula Rayamajhi,विजुला रायमाझी,Arghakhanchi,Proportion,Female,NCP(UML)
Bikram Pandey,विक्रम पाण्डे,Chitwan,Direct,Male,RastriyaPrajatantraParty
Bimala Subedi,बिमला सुवेदी,Nuwakot,Proportion,Female,MoistCenter
Bimalendra Nidhi,विमलेन्द्र निधी,Dhanusa,Proportion,Male,nepalicongress
Bina Devi,बिना देवी,Rautahat,Proportion,Female,NCP(UML)
Bina Jaiswal,वीना जैसवाल ,Parsa,Proportion,Female,RastriyaPrajatantraParty
Bina Kumari Thanait,विना कुमारी थनैत,Nawalparasi (East of Bardaghat Susta),Proportion,Female,nepalicongress
Bina Lama,विना लामा,Dhading,Proportion,Female,RastriyaPrajatantraParty
Bindabasini Kansakar,विन्दबासिनी कांसकार,Makawanpur,Proportion,Female,NationalindependentParty
Binita Kathayat,बिनिता कठायत,Jumla,Proportion,Female,NationalindependentParty
Binita Kumari Singh,विनिता कुमारी सिंह,Siraha,Proportion,Female,janmatparty
Binod Kumar Chaudhary,विनोद कुमार चौधरी,Nawalparasi,Direct,Male,nepalicongress
Bir Bahadur Balayar,बिर बहादुर बलायर,Kailali,Direct,Male,nepalicongress
Biraj Bhakta Shrestha,विराज भक्त श्रेष्ठ,Kathmandu,Direct,Male,NationalindependentParty
Birendra Prasad Mahato,विरेन्द्र प्रसाद महतो,Siraha,Direct,Male,JanataSamajbadiparty
Bishnu Kumar Karki,विष्णु कुमार कार्की,Nawalparasi (East of Bardaghat Susta),Direct,Male,nepalicongress
Bishnu Prasad Paudel,विष्णु प्रसाद पौडैल,Rupandehi,Direct,Male,NCP(UML)
Bishwa Prakash Sharma,विश्व प्रकाश शर्मा,Jhapa,Direct,Male,nepalicongress
Buddhiman Tamang,बुद्धिमान तामाङ,Dhading,Proportion,Male,RastriyaPrajatantraParty
Chanda Chaudhary,चन्दा चौधरी,Sarlahi,Proportion,Female,nepalicongress
Chanda Karki (Bhandari),चन्दा कार्की (भण्डारी),Lalitpur,Proportion,Female,NationalindependentParty
Chandra Bahadur Bishwakarma ,चन्द्र बहादुर विश्वकर्मा,Rukum West,Proportion,Male,NCP(UML)
Chhabilal Bishwokarma,छविलाल विश्वकर्मा,Rupandehi,Direct,Male,NCP(UML)
Chhiring Damdul Lama ,छिरीङ डम्डुल लामा,Humla,Direct,Male,MoistCenter
Chhiring Lhamu Lama (Tamang),छिरिङ ल्हामु लामा (तामाङ),Jumla,Proportion,Female,MoistCenter
Chitra Bahadur K.C.,चित्र बहादुर के.सी.,Baglung,Direct,Male,rastriyaJanamorchaparty
Damodar Bhandari,दामोदर भण्डारी,Baitadi,Direct,Male,NCP(UML)
Damodar Paudel Bairagi,दामोदर पौंडेल वैरागी,Kaski,Direct,Male,NCP(UML)
Dayal Bahadur Shahi,दयाल बहादुर शाही,Bajura,Proportion,Male,NCP(UML)
Deepak Bohara,दीपक बोहरा,Rupandehi,Direct,Male,RastriyaPrajatantraParty
Deepak Karki,दीपक कार्की,Dhanusa,Direct,Male,SamajbadiParty
Dev Prasad Timalsena,देव प्रसाद तिमलसेना,Rautahat,Direct,Male,nepalicongress
Devendra Paudel,देवेन्द्र पौडेल,Baglung,Direct,Male,MoistCenter
Devi Prakash Bhattachan,देवि प्रकाश भट्टचन,Lalitpur,Proportion,Male,NCP(UML)
Devraj Ghimire,देवराज घिमिरे,Jhapa,Direct,Male,
Dhan Bahadur Budha,धन बहादुर बुढा,Dolpa,Direct,Male,NCP(Unified Socialist)
Dhanraj Gurung,धनराज गुरुङ्ग,Syangja,Direct,Male,nepalicongress
Dhurba Bahadur Pradhan,ध्रुव बहादुर प्रधान,Nawalparasi,Direct,Male,RastriyaPrajatantraParty
Dig Bahadur Limbu,डिग बहादुर लिम्बु,Morang,Direct,Male,nepalicongress
Dikpal Kumar Shahi,दिक्पाल कुमार शाही ,Dailekh,Direct,Male,nepalicongress
Dilendra Prasad Badu,दिलेन्द्र प्रसाद बडू,Darchula,Direct,Male,nepalicongress
Dilli Raj Panta,डिल्ली राज पन्त,Kailali,Direct,Male,nepalicongress
Dinesh Kumar Yadav,दिनेश कुमार यादव,Saptari,Direct,Male,nepalicongress
Dipa Sharma,दिपा शर्मा,Banke,Proportion,Female,NCP(UML)
Dipak Bahadur Singh,दिपक बहादुर सिंह,Makawanpur,Direct,Male,RastriyaPrajatantraParty
Dipak Giri,दीपक गिरी,Dang,Direct,Male,nepalicongress
Dipak Khadka,दिपक खड्का,Sankhubasabha,Direct,Male,nepalicongress
Dol Prasad Aryal,डोल प्रसाद अर्याल,Kathmandu,Proportion,Male,NationalindependentParty
Dr. Aarju Rana,डा. आरजु राणा,Dadeldhura,Proportion,Female,nepalicongress
Dr. Amresh Kumar Singh,डा. अमरेश कुमार सिंह,Sarlahi,Direct,Male,independent
Dr. Chandra Kant Raut,डा. चन्द्र कान्त राउत,Saptari,Direct,Male,janmatparty
Dr. Chandrakanta Bhandari,डा. चन्द्रकान्त भण्डारी,Gulmi,Direct,Male,nepalicongress
Dr. DhawalShumsher J.B. Rana,डा. धवल शम्सेर ज.व.रा.,Banke,Direct,Male,RastriyaPrajatantraParty
Dr. Kaluram Rai,डा. कालुराम राई,Jhapa,Proportion,Male,NCP(UML)
Dr. Narayan Khadka,डा. नारायण खड्का,Udayapur,Direct,Male,nepalicongress
Dr. Prakash Sharan Mahat,डा. प्रकाश शरण महत,Nuwakot,Proportion,Male,nepalicongress
Dr. Sashank Koirala,डा. शशांक कोइराला,Nawalparasi (East of Bardaghat Susta),Direct,Male,nepalicongress
Dr. Shekhar Koirala,डा. शेखर कोइराला,Morang,Direct,Male,nepalicongress
Dr. Sunil Kumar Sharma,डा. सुनिल कुमार शर्मा,Morang,Direct,Male,nepalicongress
Dr. Swarnim Wagle,डा. स्वर्णिम वाग्ले,Tanahun,Direct,Male,NationalindependentParty
Dr. Toshima Karki,डा. तोसीमा कार्की,Lalitpur,Direct,Female,NationalindependentParty
Durga Rai,दुर्गा राई,Bhojpur,Proportion,Female,MoistCenter
Durlav Thapa Chhetri,दुर्लभ थापा क्षेत्री,Bhaktapur,Direct,Male,nepalicongress
Eknath Dhakal,एक नाथ ढकाल,Gorkha,Proportion,Male,NCP(UML)
Gagan Kumar Thapa,गगन कुमार थापा,Kathmandu,Direct,Male,nepalicongress
Ganesh Parajuli,गणेश पराजुली,Kathmandu,Direct,Male,NationalindependentParty
Ganga Karki,गंगा कार्की,Dolakha,Direct,Male,MoistCenter
Ganga Prasad Yadav,गंगा प्रसाद यादव,Siraha,Proportion,Male,NCP(UML)
Ganga Ram Chaudhary,गंगाराम चौधरी डगौरा,Kailali,Direct,Male,nagrikUnmuktiparty
Gita Basnet,गिता बस्नेत,Bardiya,Proportion,Female,RastriyaPrajatantraParty
Gokarna Raj Bista,गोकर्णराज विष्ट,Gulmi,Direct,Male,NCP(UML)
Gokul Prasad Baskota,गोकुल प्रसाद बास्कोटा,Kavrepalanchowk,Direct,Male,NCP(UML)
Goma Labh (Sapkota),गोमा लाभ (सापकोटा),Mahottari,Proportion,Female,janmatparty
Gyan Bahadur Shahi,ज्ञानबहादुर शाही,Jumla,Direct,Male,RastriyaPrajatantraParty
Gyanendra Bahadur Karki,ज्ञानेन्द्र बहादुर कार्की,Sunsari,Direct,Male,nepalicongress
Gyanu Basnet Subedi,ज्ञानु बस्नेत सुवेदी,Chitwan,Proportion,Female,MoistCenter
Hari Dhakal,हरि ढकाल,Chitwan,Direct,Male,NationalindependentParty
Hari Prasad Upreti,हरि प्रसाद उप्रेती,Sarlahi,Direct,Male,NCP(UML)
Harkamaya Bishwakarma,हर्कमाया विश्वकर्मा,Jhapa,Proportion,Female,NCP(UML)
Haseena Khan,हसीना खान,Banke,Proportion,Female,JanataSamajbadiparty
Hemraj Rai,हेमराज राई,Bhojpur,Proportion,Male,NCP(UML)
Hit Bahadur Tamang,हितबहादुर तामाङ,Nuwakot,Direct,Male,MoistCenter
Hitraj Pandey,हितराज पाण्डे,Gorkha,Proportion,Male,MoistCenter
